Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
MLPClassifier,concat_w_o,original,1440_pairs,Stratified,0.8332126711137808,0.007803416122348271,0.8321978438873258,0.8392795042837722,0.820342385634346,0.8366554961904461,0.8320634820271253,0.8311545635610635,0.8386946350099586,0.8232114065315673,0.8488745218298505,0.8296528721823527
LinearSVC,concat_w_o,original,1440_pairs,Stratified,0.8398351300938953,0.007186624595158939,0.8281748917201479,0.8375723182953432,0.8377620056273909,0.8413028358256142,0.8313679618096171,0.8367661471341405,0.8495226202143467,0.8370032562992001,0.8485820871929436,0.850297176820208
GaussianNB,concat_w_o,original,1440_pairs,LODO,0.48475388068666814,0.0,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814,0.48475388068666814
KNeighborsClassifier,concat_w_o,original,1440_pairs,LODO,0.5941323385286587,0.0,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587,0.5941323385286587
DecisionTreeClassifier,concat_w_o,original,1440_pairs,LODO,0.549888558692422,0.0141009920879205,0.5860706269166324,0.5541557332996111,0.548836584363441,0.5419129967437009,0.5518083525655212,0.52830293066928,0.5482121968954506,0.5541557332996111,0.5415415257184407,0.5438889064525307
RandomForestClassifier,concat_w_o,original,1440_pairs,LODO,0.7260002054946098,0.007339525260209744,0.722147576744333,0.7332087192943632,0.7197685814549017,0.7380892162751731,0.7290514052669848,0.7182550346179379,0.7231039170434068,0.7171959470140054,0.7223135531598749,0.7368681040751162
MLPClassifier,concat_w_o,original,1440_pairs,LODO,0.69637934304954,0.004896330795242871,0.7000331952831084,0.6865732983465588,0.6953384338149284,0.6989029749296577,0.6913549998419273,0.6994246150927887,0.69167114539534,0.703755809174544,0.6969981979703456,0.6997407606462015
LinearSVC,concat_w_o,original,1440_pairs,LODO,0.7526421864626474,0.0015876443240352292,0.7562596819575733,0.753556637475894,0.7527978881477032,0.7523394770952546,0.7516992823495938,0.754101988555531,0.7512566785748158,0.7509958584932503,0.7526477190098322,0.750766652967026
GaussianNB,concat_w_o,original,1440_pairs,LOEO,0.48635831937023805,5.551115123125783e-17,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381,0.4863583193702381
KNeighborsClassifier,concat_w_o,original,1440_pairs,LOEO,0.5502434320761278,0.0,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278,0.5502434320761278
DecisionTreeClassifier,concat_w_o,original,1440_pairs,LOEO,0.5656650121716039,0.0075847279863347815,0.5598463532610414,0.5677657993740319,0.5737093357781923,0.5737093357781923,0.5571275015016914,0.5746893869937719,0.5547801207676015,0.5570089469191616,0.5733378647529324,0.5646754765894217
RandomForestClassifier,concat_w_o,original,1440_pairs,LOEO,0.8194579684486738,0.0034347039262941736,0.8153156713350828,0.8146201511175745,0.8216425342227562,0.8190936106983654,0.8204253738421168,0.8192200689197308,0.827676962473523,0.81808984856628,0.8182479213429863,0.8202475419683223
MLPClassifier,concat_w_o,original,1440_pairs,LOEO,0.6665407353545573,0.003751202546357931,0.6710900698681672,0.6727498340235843,0.6604517719958268,0.6668932376466126,0.6613290759065473,0.6664980557048465,0.6698096803768454,0.6648461951882647,0.6670196958679775,0.6647197369668996
LinearSVC,concat_w_o,original,1440_pairs,LOEO,0.7861393885744997,0.0012447829704484235,0.783835477854004,0.7878426227435111,0.7877082608833108,0.7848866618191015,0.785590085675445,0.7874632480794158,0.7855979893142803,0.7855110492870918,0.7861038221997407,0.7868546678890961
GaussianNB,concat_w_o,original,1440_pairs,External,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
