Model,Featurizer,Transformation,Training_dataset,Mode,AUC_avg,AUC_std,Repeat_1,Repeat_2,Repeat_3,Repeat_4,Repeat_5,Repeat_6,Repeat_7,Repeat_8,Repeat_9,Repeat_10
LinearSVC,concat_w_o,original,all_in_one,Stratified,0.8663639112685487,0.012240626514916746,0.8818875953085512,0.8675670129814027,0.8416582067952567,0.8743061105471196,0.8660820355530596,0.871654750847787,0.8722433419012031,0.8746625051299219,0.8683554009979048,0.84522215262328
GaussianNB,concat_w_o,original,all_in_one,LODO,0.5814307622524136,1.1102230246251565e-16,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137,0.5814307622524137
KNeighborsClassifier,concat_w_o,original,all_in_one,LODO,0.5975819167548655,1.1102230246251565e-16,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654,0.5975819167548654
DecisionTreeClassifier,concat_w_o,original,all_in_one,LODO,0.6577478022334061,0.010764770167765472,0.6625537291833165,0.6680940449705164,0.6451173942156079,0.631617599412489,0.663525714409141,0.6689526319199949,0.6582337948463184,0.6613549474047995,0.6613549474047995,0.6566732185670777
RandomForestClassifier,concat_w_o,original,all_in_one,LODO,0.7736003412748127,0.010486594097487421,0.764655377238266,0.7824508067477374,0.7801531416722466,0.7716563708231636,0.7936853359828931,0.7737299393049225,0.7517171738989566,0.770130894010411,0.7736921398794738,0.7741322331900555
MLPClassifier,concat_w_o,original,all_in_one,LODO,0.7352954835086506,0.005773400448198287,0.7374397909151781,0.7429153076873232,0.7312838844849558,0.7260945633626368,0.7361546104499211,0.7359386137330712,0.7452156727217747,0.7356416182474027,0.7269153508866665,0.7353554225975766
LinearSVC,concat_w_o,original,all_in_one,LODO,0.7672527377583861,0.0016930960207513094,0.7678143292221957,0.7687917143659415,0.7659189580318378,0.7683435211784782,0.7700498952415924,0.765810959673413,0.7646715769920298,0.7687107155971229,0.7651737693587058,0.7672419379225435
GaussianNB,concat_w_o,original,all_in_one,LOEO,0.5443279262155215,1.1102230246251565e-16,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216,0.5443279262155216
KNeighborsClassifier,concat_w_o,original,all_in_one,LOEO,0.5747672635375942,0.0,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942,0.5747672635375942
DecisionTreeClassifier,concat_w_o,original,all_in_one,LOEO,0.5852036849039894,0.005918961370946181,0.586976477957535,0.5844439164524698,0.5809609693932652,0.5787902023889236,0.5808259714452341,0.5868414800095039,0.5896224377389464,0.5981705078082813,0.5884236559604294,0.5769812298853056
RandomForestClassifier,concat_w_o,original,all_in_one,LOEO,0.8624570706525262,0.0030399823877911144,0.867472514417781,0.8664789295202714,0.8574772663455515,0.8605795191913084,0.8600260276043805,0.8631849795883103,0.860755016523749,0.8616163034321879,0.8657904399853122,0.8611897099164094
MLPClassifier,concat_w_o,original,all_in_one,LOEO,0.6950714949132772,0.004945777395419396,0.693840853619025,0.6959846210337602,0.6885651338099661,0.6979555910750157,0.6975613970667646,0.6845367950407154,0.7027291185173985,0.6944510443441261,0.6988033781886515,0.6962870164373502
LinearSVC,concat_w_o,original,all_in_one,LOEO,0.8093170183813208,0.001348511632607515,0.8074551266820745,0.8094854958204635,0.8078763202799317,0.8099066894183208,0.8083299133853165,0.8091561008272674,0.8085621098559302,0.8118452599520488,0.8091669006631098,0.8113862669287428
GaussianNB,concat_w_o,standardization,all_in_one,Standard,0.6768278722163423,0.013896710162256408,0.67970926841912,0.6522776853791823,0.6740555543555737,0.6826036244249089,0.6904281054927965,0.6504687128755643,0.6918752834956908,0.6895911182150032,0.6799576646434974,0.677311704862086
KNeighborsClassifier,concat_w_o,standardization,all_in_one,Standard,0.6910391062055856,0.008366776663147784,0.6960764196384215,0.6851253860941314,0.6755648314145624,0.6883680368058406,0.6817855368598396,0.6992137719506664,0.7019866298032269,0.686664362701687,0.6955499276410999,0.700056159146381
DecisionTreeClassifier,concat_w_o,standardization,all_in_one,Standard,0.7003526146402574,0.014175065428793923,0.6959090221828629,0.6847149923321164,0.7049322850292676,0.6866373631120807,0.7152893276022205,0.7028965159729573,0.6976045964101345,0.7003639544678921,0.7320236732401668,0.683154416052876
